"311","APA","Centennial Airport","Arapahoe County","United States","Arapahoe County, Colorado, United States"
"312","APB","Apolo Airport","Apolo","Bolivia","Apolo, Bolivia"
"313","APC","Napa County Airport","Napa","United States","Napa, California, United States"
"314","APE","San Juan Aposento Airport","San Juan Aposento","Peru","San Juan Aposento, Peru"
"315","APF","Naples Municipal Airport","Naples","United States","Naples, Florida, United States"
"316","APG","Phillips Army Airfield","Aberdeen Proving Ground","United States","Aberdeen Proving Ground, Maryland, United States"
"317","APH","A.P. Hill Army Airfield","Fort A.P. Hill","United States","Fort A.P. Hill, Virginia, United States"
"318","API","Gomez Nino-Apiay Airport","Apiay","Colombia","Apiay, Colombia"
"319","APK","Apataki Airport","Apataki","French Polynesia","Apataki, French Polynesia"
"320","APL","Nampula Airport","Nampula","Mozambique","Nampula, Mozambique"
